ID,Severity,Phase,Document,Where,Finding,Detail,Evidence,Consequence,Recommended fix,Root cause,V1.0 severity,In launch scope,Phase 3 status,Phase 3 notes
P2-12,critical,Section block layer (Docs 2-10),5,social-media-pinterest-idea-board,Section renders a snippet name that does not exist,"Line 38 calls {% render 'social-micro-post-card' %}. The file on disk is q-social-micro-post-card.liquid. sections/social-media-micro-post-strip.liquid calls the same snippet with the correct q- prefix, so this is a half-completed rename.",Renderer aborts on this section with a lookup failure; theme-wide scan confirms the un-prefixed name exists nowhere.,The section cannot render at all. This is why it reported that no configuration renders a block.,Change the reference to 'q-social-micro-post-card'.,RC-01,LAUNCH BLOCKER,no - section cut,INTENTIONALLY REMOVED,Absent in the approved post-Phase-2 source; no Phase-3 deletion.
P2-15,critical,Section block layer (Docs 2-10),6,interactive-content-helper-calendar,"The calendar can never display an event, from any data source","The section accumulates its event list with `assign raw_pairs = raw_pairs | push: pair` at lines 63, 116 and 186 -- once in each data-source branch. `push` is not a Shopify Liquid filter. Shopify returns nil for an unknown filter, so raw_pairs becomes nil on the first iteration, sorted_pairs is nil, has_events computes 0, and the render loop at line 267 iterates nothing.","Rendered all four source modes (blocks, metaobjects, context_metafield, feed_json). The default event title 'Open House' appears 0 times in every one. This is also why the section reported that no configuration renders a block.",The entire section is inert for every merchant regardless of how they configure it. Nothing on the page indicates a problem.,"Liquid has no array-append filter. Build a delimited string with `append` and `split` it afterwards -- which the surrounding code already half does, since it constructs 'key::id' pairs and sorts them.",-,V1.0 MUST FIX,no - section cut,INTENTIONALLY REMOVED,Absent in the approved post-Phase-2 source; no Phase-3 deletion.
P2-16,critical,Section block layer (Docs 2-10),multiple,6 files (see detail),The invented `push` filter is used at 25 call sites across six files,"Theme-wide count: interactive-content-pricing-data-table (18), interactive-content-helper-calendar (3), interactive-content-helper-portfolio-grid (1), main-product-simple (1), main-product-modern-variant (1), snippets/pb-bundle-card (1). `push` does not exist in Shopify Liquid and silently yields nil, destroying whatever variable it is assigned back to.",Source scan across sections/ and snippets/. The calendar's failure (P2-15) is the proven instance; each remaining file's blast radius is confirmed as its own document is reached rather than assumed.,"Any accumulation built this way is nil. Two of the six files are main-product templates, so the product page is implicated.","Replace each accumulation with an append-to-string plus split, or restructure to avoid needing an array.",RC-05,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-17,critical,Section block layer (Docs 2-10),6,interactive-content-pricing-data-table,"The pricing / data table renders no table at all, in any of its three modes","The section builds its column list with `assign cols = '' | split: '|'` followed by `cols = cols | push: col_N_label` (lines 251-260 and 18 call sites in total). `push` is not a Shopify filter, so cols becomes nil and every downstream size check and loop yields nothing.","Rendered at defaults, at gates-open, and in all three modes (price_list, pricing_table, data_table). Every render produced ZERO <th> and <td> elements. 13 of the section's 17 block settings measured inert as a direct consequence.","A merchant configures plans, columns and features and the section displays no table. This is the largest single concentration of the push fault in the theme.","Same as P2-15: accumulate into a delimited string with `append` and `split` it, or restructure to avoid needing an array.",RC-05,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P4-02,critical,Block setters & blocks (Doc 11),Blocks,the 12 content blocks in the general builder,The primitive content blocks have no styling CSS; their style controls do nothing,"content-alert, content-icon-list, content-quote, content-rich-text, content-badge, content-code, content-icon, content-divider, content-spacer, content-button, content-button-group and content-heading each emit inline custom properties for colour, spacing, border, radius and typography. Nothing in the theme consumes them. A scan of every .liquid, .css and .js file for `var(--...)` finds 137 declared-but-unconsumed --qtm-* properties across 29 block files, and the concentration is total in these twelve: content-alert 17 of 17, content-icon-list 16 of 16, content-quote 15 of 15, content-rich-text 11 of 11, content-badge 11 of 11, content-code 7 of 7, content-icon 7 of 7, content-divider 5 of 5, content-spacer 3 of 3.","Verified end to end, not by grep alone. content-alert was rendered in a full page with the theme's real stylesheets loaded (theme.css, tailwind.css, styles.css and the theme-tokens snippet), first with background and text colour red, then green. The computed styles of every element were byte-identical across the two renders, and the alert paints background-color rgba(0, 0, 0, 0), padding 0px, border-radius 0px. It is unstyled text. Composite blocks are wired by comparison: content-tabs has 2 unconsumed of 17, content-location-info 1 of 21.","These are exactly the twelve blocks the general content builder makes available (P4-01). Every styling control a merchant touches on any of them does nothing, and an alert, badge, quote or divider renders with no visual treatment at all. Combined with P4-01, the block setter offers twelve unstyled blocks while the 49 styled ones are unreachable.","Write (or restore) the stylesheet that consumes these properties, starting with q-base.css since the layout already links it. Until then no styling control on any primitive block has any effect.",RC-02,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P6-01,critical,Misc QA (Doc 14),14,"assets/styles.css:310 — affects every section with a checkbox or radio; measured on main-product-simple, main-product-modern-variant","The global input rule stretches every checkbox and radio in the theme, breaking the collection filters and forcing horizontal scroll on both product templates","assets/styles.css:310 declares `input, select, textarea { width:100%; min-height:44px; padding:.7rem .85rem; border:1px solid; border-radius; background; color }` with no `:not([type=checkbox]):not([type=radio])` exclusion. Every one of the theme's 90 checkbox/radio inputs (51 checkboxes, 39 radios) inherits a full-width, 44px-tall, bordered, opaque box. On main-product-simple and main-product-modern-variant the variant radios are hidden with `#MainProductModern-{id} .qtm-modern__radios input { position:absolute; opacity:0; pointer-events:none; }` (main-product-simple.liquid:355) — position and opacity only, no width, height or clip — so each radio keeps width:100% of its containing block while positioned outside the flow.","Every checkbox and radio the theme renders was measured at 1440px across the 18 sections that contain one: 26 inputs, and all 26 carry min-height 44px from the global rule — not one escaped it, including the four that have local `width:auto` guards, because those guards do not reset min-height. The widths land wherever the flex context puts them: 0px in main-collection-classic, 1px in main-product-classic, 13px in form-waitlist, 17px in 3rd-party-bulk-ordering, 18px in product-bundles, 195px in main-collection-simple, 329px in 3rd-party-crm-lead-capture-form, and 1440px in the two product templates. Not a single one is the ~13px square a checkbox should be. For the horizontal-scroll half: at 320px the three main-product-simple radios each render 320px wide starting at x=14 (document scrollWidth 334); at 1920px they render 1920px wide with the right edge at 2956. document.scrollWidth exceeds the viewport at all five widths on both product sections. Computed style confirms position:absolute, opacity:0, visibility:visible, width:100%.","Three separate consequences from one rule. (1) Every product page on either template scrolls sideways on every device; at desktop widths the page can be dragged roughly 1000px right into blank space. (2) No checkbox or radio in the theme renders at its intended size — see P6-13 for the worst case. (3) The symptom was already known locally: form-waitlist.liquid:102 carries the comment ""avoid width:100% input styles bleeding into checks"", so four sections were patched around a rule nobody went back to fix.","Scope the global rule with `input:not([type=checkbox]):not([type=radio]):not([type=range])`, and give the .qtm-modern__radios hide rule a real hiding technique — `width:1px; height:1px; clip-path:inset(50%)` or `appearance:none; width:auto`. Then delete the four local guard rules, which only ever fixed half the problem.",RC-03,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P6-04,critical,Misc QA (Doc 14),14,"10 files, 23 call sites — confirmed visible on main-cart, call-to-action-featured-product, main-blog-single, main-product-compact",23 image_tag calls print the entire <img> element on the page as escaped text,"This is the severe half of the filter-in-a-named-argument fault (P2-10). Liquid does not allow a filter inside another filter's named argument, so in `| image_tag: alt: img.alt | default: title | escape` the `| escape` binds to image_tag's output, not to the alt value. Where the trailing filter is `escape`, the whole `<img ...>` string is HTML-escaped and rendered as literal text. Re-counted precisely: 90 image_tag/placeholder_svg_tag sites carry a stray filter; 23 of them terminate in `escape` (visible corruption) and 67 terminate in `default` (62) or `append` (5), where only the alt attribute is silently wrong.","Rendering with theme defaults produced escaped markup in the page body: main-cart 4 occurrences, call-to-action-featured-product 3, main-blog-single 2, main-product-compact 1. Sample from main-cart: `&lt;img src=&#34;...fixture.png?width=320&#34; srcset=...`. In the browser, main-blog-single's featured-media div has that string as its textContent, and the div's min-content width of 345px is what breaks the 320px layout.","On the cart page every line item shows a line of raw HTML where the product thumbnail should be. snippets/card-product.liquid:163 and snippets/cart-line-item.liquid:19 are shared snippets, so the blast radius is the cart, the cart drawer and any collection grid that reaches those code paths with a real image. The remaining 19 sites sit on branches that need a merchant-supplied image to reach, so they are latent rather than clear.",Compute the alt text into a variable first — `{%- assign img_alt = img.alt | default: title | escape -%}` — then pass `alt: img_alt`. Apply to all 90 sites; the 23 escape-class sites first.,RC-04,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P6-09,critical,Misc QA (Doc 14),14,"22 orphaned assets, 13 broken references, 9 sections",A half-finished asset rename left 13 stylesheet and script references pointing at files that do not exist,"The assets folder holds 89 code files; 67 are referenced by a Liquid file and 22 (146,467 bytes) are referenced by nothing. Separately, 13 asset_url references name files that are not in the folder. The two lists pair up, and the orphaned files' own header comments name the file the theme is asking for: assets/product-recently-viewed.js line 1 reads `// File: assets/section-product-recently-viewed.js` and the section requests exactly that name; assets/product-recommend.js line 1 reads `// File: assets/section-product-recommended.js`, likewise requested and likewise absent. account-main-order-tracking.js pairs with the requested account-main-account-order-tracking.js, and account-main-account.css with the requested account-main-account-login.css. This is one incomplete `section-` prefix rename, not 13 independent mistakes.","p6/assets.json lists both sides. Missing: account-main-account-login.css, account-main-account-order-tracking.js, account-main-account-register.js, cart-drawer.js, global.js, predictive-search.css, q-base.css, section-product-recently-viewed.css, section-product-recently-viewed.js, section-product-recommended.js, section-product-reviews.css, social-media.css, transparent-hero-banner.css. Note that cart-drawer.js, global.js and q-base.css are requested by layout/theme.liquid, so those three 404 on every page of the store.","Sections that ship with no working code: product-recently-viewed (both its CSS and JS 404), product-recommend (JS 404), call-to-action-web3, product-bundles, main-collection-classic and interactive-content-helper-predictive-search (each has a matching asset sitting unreferenced in the folder and loads nothing), call-to-action-featured-product (CSS loads, JS does not). Three 404s fire on every page load from theme.liquid. Shopify will still publish the theme; the failures are silent in the editor and visible only in the browser network tab.","Rename the 22 orphans to the names the Liquid asks for, or change the 13 references to the names on disk — one decision per pair, checked against the header comment in each orphan. Then re-run an asset cross-reference before release.",RC-01,LAUNCH BLOCKER,yes,PARTIALLY FIXED,Missing reference repair is complete; dormant/orphan assets remain deliberately retained under the RC-13 restriction.
P6-13,critical,Misc QA (Doc 14),14,main-collection-classic,The collection filter checkboxes render zero pixels wide and cannot be seen or clicked,"main-collection-classic marks up its facet filters as a native checkbox inside a flex `<label class=""main-collection-classic__filter-option"">`, with the intent that the checkbox appears beside its label text. The only rule the section writes for it is `margin-top: 2px`. The global input rule (P6-01) gives the checkbox `width: 100%`, and the label sets the item to `flex: 0 0 auto`, so a percentage width against a shrink-to-fit flex basis resolves to zero. The section's own stylesheet, assets/main-collection-classic.css, is one of the 22 orphaned files (P6-09), so in a real store it does not load at all and even the `margin-top` rule is absent.","Rendered at 1440px: seven filter checkboxes, each measuring 0 x 44 CSS pixels, computed width 0px, flex `0 0 auto`, inside a 26px-wide label. getBoundingClientRect width is 0, so the control has no hit area. The sibling section main-collection-simple uses `flex: 0 1 auto` on the same construction and gets the opposite failure — checkboxes 176 to 195 pixels wide inside a 294px row.","On the classic collection template a shopper sees filter labels with no checkbox next to them and cannot tick one. Filtering is the primary way a shopper narrows a large catalogue, so this is a direct conversion problem, not a cosmetic one. It is also invisible in the theme editor, where a merchant sees the filter list and reasonably assumes it works.","Fixing P6-01 fixes this. In the meantime `.main-collection-classic__filter-option input { width: auto; min-height: 0; flex: none; }` restores it, and the same rule with `flex: none` fixes main-collection-simple's 195px checkboxes. Restore assets/main-collection-classic.css as part of P6-09 or the section ships unstyled regardless.",RC-03,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-01,high,Section block layer (Docs 2-10),2,"footer-two, footer-three",Social links can never render in either footer,"Both footers gate every social row on settings.social_facebook_link, social_instagram_link, social_tiktok_link, social_youtube_link, social_pinterest_link and social_linkedin_link. None of those six settings exist in config/settings_schema.json, which defines social_url_facebook, social_url_instagram, social_url_tiktok, social_url_youtube, social_url_twitter and social_url_pinterest instead. The `!= blank` gate is therefore always false.",24 call sites (4 per network across the two files). Populating the schema-correct settings with real URLs and rendering both footers produced zero social anchor elements in the body; the only qf3__social-link text in the output is the CSS rule that styles links which never appear.,A merchant fills in their social URLs in Theme settings and the footer stays empty with no indication why. footer-three's 'Social style' block control is unreachable as a direct result.,"Rename the six reads in footer-two and footer-three to the social_url_* ids, add a LinkedIn setting to the schema, and decide whether Twitter/X should be surfaced in the footers.",RC-06,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
