Type,Component,File,Family,Dependencies,CSS Asset,JS Asset,Consumers,Schema Valid,Settings Reviewed,Preset Reviewed,Responsive Reviewed,Accessibility Reviewed,Multi-Instance Reviewed,Theme Editor Reviewed,Theme Check Reviewed,Final Disposition,Changes,Live Verification Needed,Notes
sections,3rd-party-affiliate-program-cta,sections/3rd-party-affiliate-program-cta.liquid,7 Social / Third Party / Utilities,,,,,YES,SOURCE/ACTUAL 106 independent combined preset/settings/color/zero/native-link/empty cases PASS,"ACTUAL each saved schema preset rendered; new insertion copy neutralized, merchant state preserved","SOURCE bounded containers/cards/grids/buttons/long labels, logical reading direction and mobile alignment; pixels/RTL pending","SOURCE/DOM native labelled links/heading/list structure, safe copy, icon fallback/decorative semantics, focus-visible/reduced motion and custom-accent contrast; AT pending","ACTUAL independent IDs and all inline CSS scoped per instance, including opposing Rewards alignment/mobile-width settings PASS","SOURCE/DOM disabled/empty guidance, native block attributes, no JS/listener lifecycle PASS; actual editor pending","CLI 4.8.0 exits 1: 513 diagnostics (7 errors/506 warnings); one existing naming warning removed; both hosts parse natively. B7-FINAL full CLI 4.8.0 exits 1: 499 total (5 errors/494 warnings), 0 errors/18 retained warnings in Family 7; unsuppressed.",REQUIRES LIVE VERIFICATION,Connect actual surface/color/font/container/button tokens; count only visible enabled block types; escape native URLs; bounded long labels/badges and logical alignment; disabled/empty editor guidance; neutral new-insertion program terms without payout promises.,"B7-PROGRAM-CTAS after Batch 9: saved presets/settings/copy and real affiliate/rewards service links; actual commission/reward program integration and truthful terms outside this theme; shared theme/dark/custom surfaces and contrast, native sprite loading, 1440/1280/768/390/320px/zoom/long text/RTL/keyboard/AT/no-JS and editor insertion/reordering/blank-block selection.","tests/phase4/program-ctas.cjs; validation/batch7-program-ctas. Both hosts are content/native links only, with no tracking, reward issuance or external service implementation. Explicit Liquid/DOM/color/CSS adapters, not browser/Shopify/provider certification. Existing contrast helper and five literal sprite symbols reused without granting Batch 9 asset/helper closure. B7-FINAL engineering closure 2026-09-22: all 75 family entries reconciled; final evidence validation/batch7-engineering-closure. Existing live queues remain after Batch 9."
sections,3rd-party-bulk-ordering,sections/3rd-party-bulk-ordering.liquid,7 Social / Third Party / Utilities,,forms-sections.css,frontend-form-logic.js,,YES,SOURCE + 116 actual settings/routing/field/state cases PASS,ACTUAL default insertion and configured/unconfigured states PASS,SOURCE bounded grids/control widths/wrapping; pixels/RTL pending,SOURCE/DOM native labels/required validation/error associations/focus/conditional fields; AT pending,ACTUAL two hosts + duplicate assets/controllers + condition/payload isolation PASS,LOAD/UNLOAD/RELOAD and disabled/unconfigured field guidance fixtures PASS; real editor pending,"CLI 4.8.0 exits 1; unsuppressed comparison in batch7-lead-order-forms; native Liquid parse PASS B7-FINAL full CLI 4.8.0 exits 1: 499 total (5 errors/494 warnings), 0 errors/18 retained warnings in Family 7; unsuppressed.",REQUIRES LIVE VERIFICATION,"Connected existing scoped form controller; native no-JS validation and Shopify captcha; configured external endpoint validation without fake contact fallback; native success return path and external success link; complete labels/error associations; reserved/duplicate custom keys protected; progressive PO fields; independent CSS, actual width/divider/fonts and bounded layout. Recipient field is metadata, not notification routing.","B7-LEAD-ORDER-FORMS after Batch 9: actual Shopify contact notification/return path/captcha and CRM parameter/method/consent/server-side captcha processing; no-JS, all saved controls and custom fields, mixed form styles, responsive/RTL/zoom/contrast/keyboard/AT and real editor lifecycle. External success/lead/order processing is owned by the configured provider.",116 dedicated actual-host cases plus existing forms controller and 196 shared-CSS cases. Native form/image/handleize/DOM adapters are not Shopify/CRM/browser certification. Shared controller and stylesheet source remain unchanged. B7-FINAL engineering closure 2026-09-22: all 75 family entries reconciled; final evidence validation/batch7-engineering-closure. Existing live queues remain after Batch 9.
sections,3rd-party-crm-form-funnel-embed,sections/3rd-party-crm-form-funnel-embed.liquid,7 Social / Third Party / Utilities,,,,,YES,SOURCE + ACTUAL independent settings/empty/consumer fixtures PASS,ACTUAL insertion fixtures PASS; live pending,"SOURCE bounded layouts, long text and logical alignment; browser pixels/RTL pending",SOURCE/DOM native labels/links/focus; browser/AT pending,ACTUAL two-instance identities and scoped CSS PASS,SOURCE native block metadata and editor-only guidance; actual insert/reorder/reload pending,"CLI 4.8.0 exits 1: 508 diagnostics (7 errors/501 warnings), unchanged; both changed Liquid parses PASS B7-FINAL full CLI 4.8.0 exits 1: 499 total (5 errors/494 warnings), 0 errors/18 retained warnings in Family 7; unsuppressed.",REQUIRES LIVE VERIFICATION,"Preserve exact raw provider HTML; hide known legacy placeholders and empty storefront hosts; content-aware split, blank block guards and editor selection; actual surface/width/font/align controls, scrollable widget with native focus and configurable iframe minimum heights; scoped CSS and neutral defaults.","B7-PROVIDER-EMBEDS after Batch 9: each actual saved snippet/provider setup, iframe title and internal accessibility, transport/confirmation/captcha/resizing, consent/network restrictions and no-JS/help fallback; independent/mixed instances and editor insertion/unload/reload; 1440/1280/768/390/320px/zoom/long text/RTL, minimum heights, horizontal keyboard scroll and actual theme/contrast.",64 actual settings/raw-code/legacy-placeholder/block/link/multiple-instance cases; validation/batch7-provider-embeds. Merchant-owned scripts and HTML are deliberately not sanitized or re-executed by a universal controller. Schema labels embed_type as descriptive metadata. Native iframe height attributes preserved; CSS minima are explicit controls. No provider or Shopify certification. B7-FINAL engineering closure 2026-09-22: all 75 family entries reconciled; final evidence validation/batch7-engineering-closure. Existing live queues remain after Batch 9.
sections,3rd-party-crm-lead-capture-form,sections/3rd-party-crm-lead-capture-form.liquid,7 Social / Third Party / Utilities,,forms-sections.css,frontend-form-logic.js,,YES,SOURCE + 116 actual settings/routing/field/state cases PASS,ACTUAL default insertion and configured/unconfigured states PASS,SOURCE bounded grids/control widths/wrapping; pixels/RTL pending,SOURCE/DOM native labels/required validation/error associations/focus/conditional fields; AT pending,ACTUAL two hosts + duplicate assets/controllers + condition/payload isolation PASS,LOAD/UNLOAD/RELOAD and disabled/unconfigured field guidance fixtures PASS; real editor pending,"CLI 4.8.0 exits 1; unsuppressed comparison in batch7-lead-order-forms; native Liquid parse PASS B7-FINAL full CLI 4.8.0 exits 1: 499 total (5 errors/494 warnings), 0 errors/18 retained warnings in Family 7; unsuppressed.",REQUIRES LIVE VERIFICATION,"Connected existing scoped controller; unconfigured endpoints no longer submit to the current page or example.com; exact configured method/parameter contract, provider-specific captcha key, real newline select options, unnamed metadata guidance, native required labels and validation, actual width/card/stacked/alignment controls, neutral insertion copy and scoped styles.","B7-LEAD-ORDER-FORMS after Batch 9: actual Shopify contact notification/return path/captcha and CRM parameter/method/consent/server-side captcha processing; no-JS, all saved controls and custom fields, mixed form styles, responsive/RTL/zoom/contrast/keyboard/AT and real editor lifecycle. External success/lead/order processing is owned by the configured provider.",116 dedicated actual-host cases plus existing forms controller and 196 shared-CSS cases. Native form/image/handleize/DOM adapters are not Shopify/CRM/browser certification. Shared controller and stylesheet source remain unchanged. B7-FINAL engineering closure 2026-09-22: all 75 family entries reconciled; final evidence validation/batch7-engineering-closure. Existing live queues remain after Batch 9.
sections,3rd-party-dropshipping-logo-carousel,sections/3rd-party-dropshipping-logo-carousel.liquid,7 Social / Third Party / Utilities,,,3rd-party-partner-logos.js,,YES,SOURCE + ACTUAL independent settings/empty/consumer fixtures PASS,ACTUAL insertion fixtures PASS; live pending,"SOURCE bounded layouts, long text and logical alignment; browser pixels/RTL pending","SOURCE/DOM native lists/links, hidden inert noninteractive clones, native scroll focus, explicit stop and mandatory system reduced-motion pause; AT pending","ACTUAL two-instance motion independence, duplicate boot/load, visibility/focus/motion/resize and unload/reload PASS",ACTUAL static editor initialization and scoped cleanup/reload PASS; native block metadata and empty block guidance retained; real editor pending,"CLI 4.8.0 exits 1: 508 diagnostics (7 errors/501 warnings), unchanged; native Liquid parse PASS B7-FINAL full CLI 4.8.0 exits 1: 499 total (5 errors/494 warnings), 0 errors/18 retained warnings in Family 7; unsuppressed.",REQUIRES LIVE VERIFICATION,"Count only meaningful storefront logos; empty/header-only guards and editor placeholders; real theme width/font/surface tokens and bounded grid/tiles; escaped links and native image alt fallback; scoped marquee groups with inert noninteractive clones, native scroll fallback and explicit motion stop control; neutral insertion copy.","B7-PARTNER-LOGOS after Batch 9: actual logos and truthful brand relationships, every saved setting/preset/layout, native LTR/RTL strip scrolling and full-gap marquee wrap, motion stopping into browsable static originals, touch/focus/hover/manual stop/reduced motion/offscreen/tab visibility, no-JS, theme/custom contrast and 1440/1280/768/390/320px/zoom/long text/AT, actual editor add/reorder/select/unload/reload.","57 independent actual source and runtime cases; validation/batch7-partner-logos. Timers, viewport geometry, media query, intersection and resize observers are explicit adapters, not pixel/native-scroll certification. Autoplay always honors system reduced motion; the retained respect_reduced_motion setting additionally controls decorative hover transitions. No protected Batch 4 or previous host source changed. B7-FINAL engineering closure 2026-09-22: all 75 family entries reconciled; final evidence validation/batch7-engineering-closure. Existing live queues remain after Batch 9."
sections,3rd-party-marketing-funnel-cta-strip,sections/3rd-party-marketing-funnel-cta-strip.liquid,7 Social / Third Party / Utilities,,,,templates/index.json;templates/page.dynamic-section-test.json,YES,SOURCE/ACTUAL 127 independent combined settings/preset/link/variant/color/zero/logo/empty cases PASS,"ACTUAL both presets; neutral new-insertion provider copy/links, saved merchant state preserved",SOURCE bounded controls/cards/grid/container/long labels and logical alignment; real widths/RTL pending,"SOURCE/DOM native labelled escaped links, informative/decorative logo distinction, stable heading/list semantics, focus-visible/reduced motion and custom accent contrast; AT pending",ACTUAL independent IDs and every inline rule scoped to its own instance PASS,SOURCE/DOM disabled/empty guidance and native block metadata; no JS lifecycle; actual editor pending,"CLI 4.8.0 exits 1: 508 diagnostics (7 errors/501 warnings); four naming/one unused assignment warnings removed; both hosts parse natively. B7-FINAL full CLI 4.8.0 exits 1: 499 total (5 errors/494 warnings), 0 errors/18 retained warnings in Family 7; unsuppressed.",REQUIRES LIVE VERIFICATION,"Remove invented page destinations; independently scoped native links/targets, actual inherited/explicit size and variant styling with preserved custom color controls, theme surfaces/fonts/max width, bounded responsive layout and focus/reduced motion; omit empty content/actions and retain editor guidance; neutral new provider copy.","B7-FUNNEL-PROVIDERS after Batch 9: real saved layouts/settings/destinations and actual connected provider claims; all inherited/custom button variants/colors, theme/dark surfaces, real logos/contrast, 1440/1280/768/390/320px/zoom/long text/RTL/keyboard/AT/no-JS and editor add/remove/reorder/empty blocks.","tests/phase4/funnel-powered.cjs; validation/batch7-funnel-providers. These are native content/link hosts, not service installers or tracking/automation implementations. Explicit Liquid/DOM/CSS/color/image adapters are not Shopify/provider/AT/pixel certification. Existing contrast helper remains separately pending Batch 9 closure. B7-FINAL engineering closure 2026-09-22: all 75 family entries reconciled; final evidence validation/batch7-engineering-closure. Existing live queues remain after Batch 9."
sections,3rd-party-metaobject-supplier,sections/3rd-party-metaobject-supplier.liquid,7 Social / Third Party / Utilities,snippets/card-product.liquid;snippets/contrast-text.liquid,card-product.css,,,YES,SOURCE + ACTUAL independent settings/source/field/card fixtures PASS,ACTUAL insertion fixtures PASS; live pending,"SOURCE bounded grid/carousel/hero, long text and logical chip positions; pixels/RTL pending","SOURCE/DOM native links/lists/headings, escaped copy, visible focus and reduced motion; AT pending",ACTUAL two-instance identities and scoped CSS PASS,"SOURCE native mapping metadata, empty/no-context guidance; live insert/reorder/select pending","CLI 4.8.0 exits 1: 508 diagnostics (7 errors/501 warnings), unchanged; all changed Liquid parses natively B7-FINAL full CLI 4.8.0 exits 1: 499 total (5 errors/494 warnings), 0 errors/18 retained warnings in Family 7; unsuppressed.",REQUIRES LIVE VERIFICATION,"Native named metaobject fields, typed rich text/text/list/logo, fallback/explicit catalog selection, empty and label/destination guards, editor-only setup; no duplicate banner landmark; conditional logo columns, actual inline padding and theme/custom tokens, scoped buttons/focus/motion, clamped zero radius and shared card styles.","B7-WAREHOUSE-SUPPLIER after Batch 9: native published metaobject fields/access/webpage capability, collection picks/legacy handles, warehouse mapping precedence and block selection, curated group labels versus actual fulfillment, products/variants/presentment currency, all saved controls and theme/custom contrast, 1440/1280/768/390/320px/zoom/long text/RTL/keyboard/AT/no-JS, editor insertion/reorder/unload/reload.",128 independent actual host/card fixture cases. Evidence: validation/batch7-warehouse-supplier. Native Liquid/field/image/money/color/DOM adapters do not certify Shopify or layout. Warehouse legacy global mapping keys have no schema; new section mapping blocks supply real configuration without touching merchant state. Supplier accepts custom definition types by documented field contract. B7-FINAL engineering closure 2026-09-22: all 75 family entries reconciled; final evidence validation/batch7-engineering-closure. Existing live queues remain after Batch 9.
sections,3rd-party-order-tracking,sections/3rd-party-order-tracking.liquid,7 Social / Third Party / Utilities,,,3rd-party-order-tracking.js,,YES,SOURCE + 123 actual independent tracking/region setting/data/routing cases PASS,ACTUAL default/empty/configured states PASS,SOURCE bounded containers/inputs/layouts/text and zero-radius guards; browser/RTL pending,"SOURCE/DOM native labels/links/errors, keyboard focus and unavailable states; AT pending","ACTUAL separate roots, encoded URLs, duplicate asset boot, unload/reload PASS",SCOPED load/unload/reload and configuration/empty guidance PASS; real editor pending,"CLI 4.8.0 exits 1; full unsuppressed evidence in batch7-tracking-regions; native parse PASS B7-FINAL full CLI 4.8.0 exits 1: 499 total (5 errors/494 warnings), 0 errors/18 retained warnings in Family 7; unsuppressed.",REQUIRES LIVE VERIFICATION,"Removed invented destinations; complete no-JS help links and honest configuration states; hidden-until-ready native form with labels/errors; actual tokens, bounded layouts, escaped links and neutral provider guidance. All settings retained.","B7-TRACKING-REGIONS after Batch 9: configured real help/provider destinations and popup/browser navigation; native Markets country and published metaobject fields, product/cart messaging and checkout truthfulness; all settings, icons, theme/custom contrast, responsive/RTL/zoom/no-JS/keyboard/AT and editor lifecycle. Theme does not retrieve status or enforce shipping eligibility.",123 source/Liquid/DOM/URL cases. q-icon is an existing Batch 5 live-queued dependency; its actual Lucide symbol IDs were checked for default status icons. General sprite closure remains Batch 9. Native Shopify/image/URL/navigation fixtures are explicit adapters; not provider/browser certification. B7-FINAL engineering closure 2026-09-22: all 75 family entries reconciled; final evidence validation/batch7-engineering-closure. Existing live queues remain after Batch 9.
sections,3rd-party-partner-fulfillment-strip,sections/3rd-party-partner-fulfillment-strip.liquid,7 Social / Third Party / Utilities,,,,,YES,SOURCE/ACTUAL 114 combined independent preset/settings/collection/filter/price/media/timeline/empty cases PASS,"ACTUAL both presets; neutral new-insertion delivery copy/estimates, saved merchant state untouched","SOURCE bounded grid/strip/carousel/cards/long labels, logical positioning and horizontal-to-vertical timeline; pixels/RTL pending","SOURCE/DOM native list/heading/link/media semantics, labelled scroll focus, sequential visible step names and focus outlines; AT pending",ACTUAL unique IDs and all inline CSS selectors scoped to each host PASS,SOURCE/DOM disabled/empty/source/sort guidance and native step block metadata; no JS listeners; actual editor pending,"CLI 4.8.0 exits 1: 508 diagnostics (7 errors/501 warnings), unchanged; both hosts parse natively. B7-FINAL full CLI 4.8.0 exits 1: 499 total (5 errors/494 warnings), 0 errors/18 retained warnings in Family 7; unsuppressed.",REQUIRES LIVE VERIFICATION,"Native collection object/legacy-handle resolution; strict tag matching in an explicit first-50 preview with no unrelated fallback; native tagged/sorted collection link, documented collection-order Best selling alias; same-variant price/compare/link, escaped URLs/alt, independent logo/name, bounded scoped grids/carousel/focus/theme tokens and neutral new delivery copy.","B7-PARTNER-SHIPPING after Batch 9: saved collection/meta settings, actual tag case/handle/native redirects and catalog beyond the preview, collection default Best selling/native sort and presentment-currency/variant links/prices; truthful partner and current delivery copy, all timeline modes/markers/colors/zero/blank steps; 1440/1280/768/390/320px/zoom/long text/RTL/touch/keyboard/AT/no-JS and editor insertion/reordering/selection.","tests/phase4/partner-shipping.cjs; validation/batch7-partner-shipping. Explicit native Liquid/DOM/image/money/color/handleize adapters, not Shopify sorting/currency/AT/pixel certification. The preview is capped at 50 native products; Best selling uses configured collection order, not invented sales data. Both components are static merchandising/content, not fulfillment/shipping integrations. No protected B4 source changed. B7-FINAL engineering closure 2026-09-22: all 75 family entries reconciled; final evidence validation/batch7-engineering-closure. Existing live queues remain after Batch 9."
sections,3rd-party-powered-by,sections/3rd-party-powered-by.liquid,7 Social / Third Party / Utilities,snippets/contrast-text.liquid,,,,YES,SOURCE/ACTUAL 127 independent combined settings/preset/link/variant/color/zero/logo/empty cases PASS,"ACTUAL both presets; neutral new-insertion provider copy/links, saved merchant state preserved",SOURCE bounded controls/cards/grid/container/long labels and logical alignment; real widths/RTL pending,"SOURCE/DOM native labelled escaped links, informative/decorative logo distinction, stable heading/list semantics, focus-visible/reduced motion and custom accent contrast; AT pending",ACTUAL independent IDs and every inline rule scoped to its own instance PASS,SOURCE/DOM disabled/empty guidance and native block metadata; no JS lifecycle; actual editor pending,"CLI 4.8.0 exits 1: 508 diagnostics (7 errors/501 warnings); four naming/one unused assignment warnings removed; both hosts parse natively. B7-FINAL full CLI 4.8.0 exits 1: 499 total (5 errors/494 warnings), 0 errors/18 retained warnings in Family 7; unsuppressed.",REQUIRES LIVE VERIFICATION,"Wire real container/font/button contracts, all custom colors with contrast-aware primary text, scoped wrapping/focus/reduced motion; skip empty cards/header/actions, native logo alt and duplicate-name semantics, robust initials, bounded radius/shadows including zero in Grid/Strip; neutral new provider defaults and remove unconfigured external preset links.","B7-FUNNEL-PROVIDERS after Batch 9: real saved layouts/settings/destinations and actual connected provider claims; all inherited/custom button variants/colors, theme/dark surfaces, real logos/contrast, 1440/1280/768/390/320px/zoom/long text/RTL/keyboard/AT/no-JS and editor add/remove/reorder/empty blocks.","tests/phase4/funnel-powered.cjs; validation/batch7-funnel-providers. These are native content/link hosts, not service installers or tracking/automation implementations. Explicit Liquid/DOM/CSS/color/image adapters are not Shopify/provider/AT/pixel certification. Existing contrast helper remains separately pending Batch 9 closure. B7-FINAL engineering closure 2026-09-22: all 75 family entries reconciled; final evidence validation/batch7-engineering-closure. Existing live queues remain after Batch 9."
