Tracking ID,Section,Setting or token,Candidate kind,Trace verdict,Disposition,Root cause,Why,Trace detail,Phase 3 status,Phase 3 evidence,Current source references
CONF-041,call-to-action-icon-list,btn_ease,overridden,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--btn-ease is declared from this setting and read by no rule,NOT FIXED,"Original confirmed classification preserved. A consumer may exist, but the reported cascade/gate behavior has not been reproduced in a browser. Do not mark fixed from a token occurrence alone.","sections/call-to-action-icon-list.liquid:108: --btn-ease: {{ s.btn_ease | default: 'ease' }};
sections/call-to-action-icon-list.liquid:194: transition: transform var(--btn-trans-ms) var(--btn-ease), background var(--btn-trans-ms) var(--btn-ease), color var(--btn-trans-ms) var(--btn-ease);
sections/call-to-action-icon-list.liquid:292: { ""type"": ""select"", ""id"": ""btn_ease"", ""label"": ""Button easing"", ""default"": ""ease"", ""options"": ["
CONF-042,call-to-action-icon-list,btn_transition_ms,overridden,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--btn-trans-ms is declared from this setting and read by no rule,NOT FIXED,"Original confirmed classification preserved. A consumer may exist, but the reported cascade/gate behavior has not been reproduced in a browser. Do not mark fixed from a token occurrence alone.","sections/call-to-action-icon-list.liquid:107: --btn-trans-ms: {{ s.btn_transition_ms | default: 160 }}ms;
sections/call-to-action-icon-list.liquid:194: transition: transform var(--btn-trans-ms) var(--btn-ease), background var(--btn-trans-ms) var(--btn-ease), color var(--btn-trans-ms) var(--btn-ease);
sections/call-to-action-icon-list.liquid:286: { ""type"": ""range"", ""id"": ""btn_transition_ms"", ""label"": ""Button transition (ms)"", ""min"": 0, ""max"": 500, ""step"": 10, ""default"": 160 },"
CONF-074,form-support-request,--q-bg,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-bg is declared and read by no CSS rule,NOT FIXED,"Original confirmed classification preserved. A consumer may exist, but the reported cascade/gate behavior has not been reproduced in a browser. Do not mark fixed from a token occurrence alone.","assets/forms-sections.css:7: .q-form .q-bg{ position:absolute; inset:0; z-index:0; background:var(--q-bg, transparent); overflow:hidden; pointer-events:none; }
sections/form-support-request.liquid:74: --q-bg: {{ s.bg_color | default: g.bg_contrast | default: '#f6f7f8' }};
sections/form-support-request.liquid:231: <div class=""q-media"" style=""background: var(--q-bg);""></div>"
CONF-075,form-support-request,bg_color,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-bg is declared from this setting and read by no rule,NOT FIXED,"Original confirmed classification preserved. A consumer may exist, but the reported cascade/gate behavior has not been reproduced in a browser. Do not mark fixed from a token occurrence alone.","assets/forms-sections.css:7: .q-form .q-bg{ position:absolute; inset:0; z-index:0; background:var(--q-bg, transparent); overflow:hidden; pointer-events:none; }
sections/form-support-request.liquid:74: --q-bg: {{ s.bg_color | default: g.bg_contrast | default: '#f6f7f8' }};
sections/form-support-request.liquid:231: <div class=""q-media"" style=""background: var(--q-bg);""></div>
sections/form-support-request.liquid:336: { ""type"": ""color"", ""id"": ""bg_color"", ""label"": ""Background color"", ""default"": ""#f6f7f8"" },"
CONF-136,special-offers-banner,--q-muted,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-muted is declared and read by no CSS rule,NOT FIXED,"Original confirmed classification preserved. A consumer may exist, but the reported cascade/gate behavior has not been reproduced in a browser. Do not mark fixed from a token occurrence alone.",sections/special-offers-banner.liquid:113: --q-muted: {{ settings.text_muted | default: '#9aa0a6' }};
CONF-137,special-offers-banner,--q-text,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-text is declared and read by no CSS rule,NOT FIXED,"Original confirmed classification preserved. A consumer may exist, but the reported cascade/gate behavior has not been reproduced in a browser. Do not mark fixed from a token occurrence alone.",sections/special-offers-banner.liquid:112: --q-text: {{ settings.text_base | default: '#111111' }};
CONF-164,call-to-action-icon-list,icon_ease,overridden,OVERRIDDEN,CONFIRMED DEFECT,RC-17,"custom property is read, but a later or more specific declaration wins; inert under exact re-adjudication with every gate open",token is consumed by a base rule yet nothing changes; specificity or a later declaration wins,NOT FIXED,"Original confirmed classification preserved. A consumer may exist, but the reported cascade/gate behavior has not been reproduced in a browser. Do not mark fixed from a token occurrence alone.","sections/call-to-action-icon-list.liquid:113: --icon-ease: {{ s.icon_ease | default: 'ease' }};
sections/call-to-action-icon-list.liquid:175: transition: transform var(--icon-trans-ms) var(--icon-ease), filter var(--icon-trans-ms) var(--icon-ease);
sections/call-to-action-icon-list.liquid:316: { ""type"": ""select"", ""id"": ""icon_ease"", ""label"": ""Icon easing"", ""default"": ""ease"", ""options"": ["
CONF-165,call-to-action-icon-list,icon_transition_ms,overridden,OVERRIDDEN,CONFIRMED DEFECT,RC-17,"custom property is read, but a later or more specific declaration wins; inert under exact re-adjudication with every gate open",token is consumed by a base rule yet nothing changes; specificity or a later declaration wins,NOT FIXED,"Original confirmed classification preserved. A consumer may exist, but the reported cascade/gate behavior has not been reproduced in a browser. Do not mark fixed from a token occurrence alone.","sections/call-to-action-icon-list.liquid:112: --icon-trans-ms: {{ s.icon_transition_ms | default: 160 }}ms;
sections/call-to-action-icon-list.liquid:175: transition: transform var(--icon-trans-ms) var(--icon-ease), filter var(--icon-trans-ms) var(--icon-ease);
sections/call-to-action-icon-list.liquid:315: { ""type"": ""range"", ""id"": ""icon_transition_ms"", ""label"": ""Icon transition (ms)"", ""min"": 0, ""max"": 500, ""step"": 10, ""default"": 160 },"
CONF-172,footer-four,default_logo_height,overridden,OVERRIDDEN,CONFIRMED DEFECT,RC-17,"custom property is read, but a later or more specific declaration wins; inert under exact re-adjudication with every gate open",token is consumed by a base rule yet nothing changes; specificity or a later declaration wins,NOT FIXED,"Original confirmed classification preserved. A consumer may exist, but the reported cascade/gate behavior has not been reproduced in a browser. Do not mark fixed from a token occurrence alone.","sections/footer-four.liquid:47: --qf4-logo-height: {{ section.settings.default_logo_height }}px;
sections/footer-four.liquid:385: height: var(--qf4-brand-logo-height, var(--qf4-logo-height));
sections/footer-four.liquid:786: style=""--qf4-brand-logo-height: {{ block.settings.logo_height | default: section.settings.default_logo_height }}px;""
sections/footer-four.liquid:1347: ""id"": ""default_logo_height"","
CONF-173,footer-four,link_hover_color,overridden,OVERRIDDEN,CONFIRMED DEFECT,RC-17,"custom property is read, but a later or more specific declaration wins; inert under exact re-adjudication with every gate open",token is consumed by a base rule yet nothing changes; specificity or a later declaration wins,NOT FIXED,"Original confirmed classification preserved. A consumer may exist, but the reported cascade/gate behavior has not been reproduced in a browser. Do not mark fixed from a token occurrence alone.","sections/footer-four.liquid:32: --qf4-link-hover: {{ section.settings.link_hover_color }};
sections/footer-four.liquid:74: color: var(--qf4-link-hover);
sections/footer-four.liquid:80: outline: 2px solid var(--qf4-link-hover);
sections/footer-four.liquid:486: color: var(--qf4-link-hover);
sections/footer-four.liquid:586: color: var(--qf4-link-hover);
sections/footer-four.liquid:1221: ""id"": ""link_hover_color"","
