Section,Setting or token,Candidate kind,Trace verdict,Disposition,Root cause,Why,Trace detail
3rd-party-bulk-ordering,success_mode,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.show_divider`
3rd-party-dropshipping-logo-carousel,logo_style,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
3rd-party-metaobject-supplier,alignment,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
3rd-party-metaobject-supplier,collection_link_variant,placement,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_short_description and short_desc != blank`
3rd-party-metaobject-supplier,collection_source,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
3rd-party-metaobject-supplier,custom_accent_color,dead,DEAD-TOKEN,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),--q-sup-accent is declared from this setting and read by no rule
3rd-party-metaobject-supplier,max_products,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_website_button and website != blank`
3rd-party-metaobject-supplier,show_facts,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_logo and logo_obj != blank`
3rd-party-metaobject-supplier,show_lead_time,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_logo and logo_obj != blank`
3rd-party-metaobject-supplier,show_logo,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),only reached under `s.use_custom_colors`
3rd-party-metaobject-supplier,show_product_grid,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_logo and logo_obj != blank`
3rd-party-metaobject-supplier,show_regions,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_logo and logo_obj != blank`
3rd-party-metaobject-supplier,show_shipping_notes,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders thin; nothing on the page to affect (rig #30),needs more than one condition true at once: `s.show_logo and logo_obj != blank`
