Tracking ID,Section,Setting or token,Candidate kind,Trace verdict,Disposition,Root cause,Why,Trace detail,Phase 3 status,Phase 3 evidence,Current source references
CONF-001,3rd-party-affiliate-program-cta,--ghost,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--ghost is declared and read by no CSS rule,NO LONGER APPLICABLE,"Current occurrences are BEM class suffixes, not custom-property declarations. See source trace.","sections/3rd-party-affiliate-program-cta.liquid:288: #affiliate-cta-{{ section.id }} .q-btn--ghost{
sections/3rd-party-affiliate-program-cta.liquid:293: #affiliate-cta-{{ section.id }} .q-btn--ghost:hover{
sections/3rd-party-affiliate-program-cta.liquid:301: #affiliate-cta-{{ section.id }} .q-btn--ghost:hover{ transform: none; }
sections/3rd-party-affiliate-program-cta.liquid:368: <a href=""{{ s.secondary_button_url }}"" class=""q-btn q-btn--ghost"">"
CONF-002,3rd-party-affiliate-program-cta,--primary,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--primary is declared and read by no CSS rule,NO LONGER APPLICABLE,"Current occurrences are BEM class suffixes, not custom-property declarations. See source trace.","sections/3rd-party-affiliate-program-cta.liquid:279: #affiliate-cta-{{ section.id }} .q-btn--primary{
sections/3rd-party-affiliate-program-cta.liquid:283: #affiliate-cta-{{ section.id }} .q-btn--primary:hover{
sections/3rd-party-affiliate-program-cta.liquid:300: #affiliate-cta-{{ section.id }} .q-btn--primary:hover,
sections/3rd-party-affiliate-program-cta.liquid:362: <a href=""{{ s.primary_button_url }}"" class=""q-btn q-btn--primary"">"
CONF-003,3rd-party-dropshipping-logo-carousel,--mode-marquee,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--mode-marquee is declared and read by no CSS rule,NO LONGER APPLICABLE,"Current occurrences are BEM class suffixes, not custom-property declarations. See source trace.","sections/3rd-party-dropshipping-logo-carousel.liquid:219: #brand-logo-carousel-{{ section.id }} .q-logos--mode-marquee{
sections/3rd-party-dropshipping-logo-carousel.liquid:223: #brand-logo-carousel-{{ section.id }} .q-logos--mode-marquee .q-logos__track{
sections/3rd-party-dropshipping-logo-carousel.liquid:227: #brand-logo-carousel-{{ section.id }} .q-logos--mode-marquee.q-logos--autoplay .q-logos__track{
sections/3rd-party-dropshipping-logo-carousel.liquid:230: #brand-logo-carousel-{{ section.id }} .q-logos--mode-marquee:hover .q-logos__track,
sections/3rd-party-dropshipping-logo-carousel.liquid:231: #brand-logo-carousel-{{ section.id }} .q-logos--mode-marquee:focus-within .q-logos__track{"
CONF-004,3rd-party-order-tracking,--q-ot-gap,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-ot-gap is declared and read by no CSS rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,--q-ot-gap now controls the existing shell gap.,"sections/3rd-party-order-tracking.liquid:54: --q-ot-gap: var(--q-gap-md, 16px);
sections/3rd-party-order-tracking.liquid:98: gap: var(--q-ot-gap, clamp(16px, 3vw, 28px));"
CONF-005,3rd-party-partner-fulfillment-strip,--carousel,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--carousel is declared and read by no CSS rule,NO LONGER APPLICABLE,"Current occurrences are BEM class suffixes, not custom-property declarations. See source trace.","sections/3rd-party-partner-fulfillment-strip.liquid:189: #fulfilled-strip-{{ section.id }} .q-fulfilled-strip__products--carousel{
sections/3rd-party-partner-fulfillment-strip.liquid:197: #fulfilled-strip-{{ section.id }} .q-fulfilled-strip__products--carousel:focus-visible{"
CONF-006,3rd-party-partner-fulfillment-strip,--inline,orphan,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--inline is declared and read by no CSS rule,NO LONGER APPLICABLE,"Current occurrences are BEM class suffixes, not custom-property declarations. See source trace.","sections/3rd-party-partner-fulfillment-strip.liquid:306: #fulfilled-strip-{{ section.id }} .q-link--inline{ opacity: 0.85; }
sections/3rd-party-partner-fulfillment-strip.liquid:307: #fulfilled-strip-{{ section.id }} .q-link--inline:hover{
sections/3rd-party-partner-fulfillment-strip.liquid:428: <a href=""{{ view_all_url }}"" class=""q-link q-link--inline"">"
CONF-007,3rd-party-region-availability,custom_accent_color,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-ra-accent is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,"Tone border/shadow, information icon and link accents use the emitted colors.","sections/3rd-party-region-availability.liquid:82: --q-ra-accent: {{ s.custom_accent_color }};
sections/3rd-party-region-availability.liquid:93: --q-ra-accent: var(--q-primary, #2563eb);
sections/3rd-party-region-availability.liquid:456: #q-region-{{ section.id }} a { text-decoration-color: var(--q-ra-accent); }
sections/3rd-party-region-availability.liquid:665: { ""type"": ""color"", ""id"": ""custom_accent_color"", ""label"": ""Accent color"", ""default"": ""#60a5fa"" },"
CONF-008,3rd-party-region-availability,custom_info_color,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-ra-info is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,"Tone border/shadow, information icon and link accents use the emitted colors.","sections/3rd-party-region-availability.liquid:85: --q-ra-info: {{ s.custom_info_color }};
sections/3rd-party-region-availability.liquid:96: --q-ra-info: var(--q-primary, #2563eb);
sections/3rd-party-region-availability.liquid:455: #q-region-{{ section.id }} .q-ra-icon { color: var(--q-ra-info); }
sections/3rd-party-region-availability.liquid:668: { ""type"": ""color"", ""id"": ""custom_info_color"", ""label"": ""Info tone color"", ""default"": ""#60a5fa"" },"
CONF-009,3rd-party-region-availability,custom_ok_color,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-ra-ok is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,"Tone border/shadow, information icon and link accents use the emitted colors.","sections/3rd-party-region-availability.liquid:83: --q-ra-ok: {{ s.custom_ok_color }};
sections/3rd-party-region-availability.liquid:94: --q-ra-ok: var(--q-success, #16a34a);
sections/3rd-party-region-availability.liquid:460: border-color: var(--q-ra-ok);
sections/3rd-party-region-availability.liquid:461: box-shadow: 0 0 0 6px color-mix(in srgb, var(--q-ra-ok) 8%, transparent);
sections/3rd-party-region-availability.liquid:666: { ""type"": ""color"", ""id"": ""custom_ok_color"", ""label"": ""OK tone color"", ""default"": ""#22c55e"" },"
CONF-010,3rd-party-region-availability,custom_warn_color,dead,DEAD-TOKEN,CONFIRMED DEFECT,RC-16,custom property declared from a setting and read by no rule; inert under exact re-adjudication with every gate open,--q-ra-warn is declared from this setting and read by no rule,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,"Tone border/shadow, information icon and link accents use the emitted colors.","sections/3rd-party-region-availability.liquid:84: --q-ra-warn: {{ s.custom_warn_color }};
sections/3rd-party-region-availability.liquid:95: --q-ra-warn: var(--q-warning, #f59e0b);
sections/3rd-party-region-availability.liquid:464: border-color: var(--q-ra-warn);
sections/3rd-party-region-availability.liquid:465: box-shadow: 0 0 0 6px color-mix(in srgb, var(--q-ra-warn) 10%, transparent);
sections/3rd-party-region-availability.liquid:667: { ""type"": ""color"", ""id"": ""custom_warn_color"", ""label"": ""Warning tone color"", ""default"": ""#f59e0b"" },"
